name,poem_count,top_chars
虞世南,38,"飞,山,风,金,轻"
秦系,38,"山,人,时,知,云"
李煜,37,"春,花,月,人,梦"
徐彦伯,37,"花,玉,金,树,春"
秦韬玉,37,"人,风,山,云,春"
祖咏,36,"水,山,人,云,路"
魏徵,36,"斯,荐,既,万,德"
唐求,35,"山,日,水,秋,寒"
李远,35,"人,处,风,玉,水"
褚亮,35,"神,德,风,斯,光"
陆畅,35,"花,人,山,里,云"
李昌符,35,"人,多,风,归,雨"
孙光宪,35,"人,花,春,风,香"
崔湜,34,"山,风,年,月,城"
于邺,34,"人,有,应,山,几"
刘希夷,33,"春,花,人,风,落"
姚鹄,33,"日,归,云,望,同"
杨炯,33,"天,风,日,山,千"
林宽,33,"门,时,风,日,空"
邵谒,33,"人,如,天,有,日"
高蟾,32,"人,日,风,天,年"
尚颜,32,"山,云,道,诗,人"
王涯,32,"风,春,时,夜,人"
张泌,32,"花,风,春,香,烟"
孟贯,31,"山,云,路,相,多"
雍裕之,31,"风,声,年,似,明"
冯延巳,31,"风,花,春,人,月"
翁承赞,30,"风,长,花,归,心"
颜真卿,30,"颜,真,然,卿,皎"
熊孺登,30,"人,山,春,花,声"
张仲素,30,"水,夜,人,云,月"
郑巢,29,"寒,云,山,秋,远"
裴迪,29,"日,山,人,时,水"
刘方平,29,"月,春,日,花,风"
苏拯,29,"天,人,生,如,地"
崔橹,29,"人,烟,风,日,如"
卢肇,28,"人,日,如,时,知"
李百药,28,"风,长,落,日,年"
来鹄,28,"有,史,风,人,时"
许敬宗,28,"天,云,临,风,游"
杜光庭,28,"人,云,天,有,长"
裴度,28,"白,刘,度,裴,禹"
刘宪,27,"风,春,新,天,游"
刘叉,27,"人,天,有,生,古"
修睦,27,"人,长,日,有,雨"
张南史,27,"云,风,山,水,人"
刘威,27,"风,日,山,月,归"
殷文圭,27,"人,金,吟,玉,九"
窦常,26,"人,风,春,在,花"
沈亚之,26,"日,如,春,花,云"
朱放,26,"山,人,处,水,相"
章碣,26,"风,山,人,花,天"
綦毋潜,26,"人,路,花,山,客"
子兰,25,"人,声,尽,骨,长"
欧阳炯,25,"花,春,人,金,红"
韩琮,25,"如,云,花,春,年"
郑愔,25,"花,风,吹,日,天"
卢象,25,"人,相,山,时,家"
和凝,24,"金,香,花,玉,风"
窦群,23,"人,苍,白,相,光"
朱湾,23,"心,人,有,山,云"
赵彦昭,22,"天,年,花,新,奉"
毛文锡,22,"春,花,金,相,风"
乔知之,22,"君,妾,相,结,春"
杨师道,22,"风,春,花,水,日"
长孙佐辅,22,"心,还,相,如,独"
周繇,22,"山,风,日,烟,城"
清江,21,"人,月,风,客,春"
陆希声,21,"山,人,君,向,青"
张鷟,21,"人,心,时,处,花"
窦牟,21,"风,人,日,天,时"
伍乔,21,"山,云,水,时,林"
孙鲂,21,"风,春,人,看,年"
许彬,20,"更,相,人,深,见"
孟云卿,20,"人,天,远,生,行"
上官仪,20,"花,风,云,流,台"
贺知章,20,"有,风,春,成,天"
杨凌,20,"山,风,路,日,水"
窦庠,20,"人,山,有,天,处"
萧颖士,19,"有,子,人,风,我"
崔融,19,"天,山,西,风,月"
包何,19,"君,日,人,行,山"
杨凭,19,"月,人,湘,云,花"
董思恭,19,"风,光,妇,红,远"
胡宿,19,"人,长,沈,金,云"
李九龄,19,"人,风,更,问,有"
成彦雄,19,"人,花,烟,出,枝"
郭震,18,"君,人,风,月,有"
任翻,18,"江,年,夜,门,明"
张子容,18,"花,江,云,人,月"
陶翰,18,"天,日,风,心,门"
喻坦之,18,"江,水,山,草,行"
李冶,18,"相,月,山,时,人"
皇甫松,18,"花,人,红,船,江"
李適,17,"花,山,天,香,光"
赵冬曦,17,"天,人,山,春,风"
顾夐,17,"香,小,花,屏,金"
王初,17,"玉,春,风,夜,月"
灵澈,17,"山,人,月,空,老"
沈彬,17,"人,日,云,秋,生"
李珣,17,"花,水,月,春,处"
王翰,17,"人,长,君,见,日"
孟迟,17,"山,有,日,香,人"
张又新,17,"翠,今,水,春,山"
王毂,17,"风,天,人,日,神"
张贲,16,"云,空,文,白,仙"
刘昚虚,16,"日,有,山,水,花"
刘复,16,"山,水,日,人,相"
武平一,16,"开,水,回,景,下"
徐氏,16,"山,风,翠,金,云"
栖白,16,"夜,秋,山,云,空"
法振,16,"花,山,欲,月,春"
广宣,16,"道,日,天,人,路"
苏味道,15,"飞,从,花,落,行"
张碧,15,"风,云,天,山,生"
李适,15,"风,时,节,乐,同"
李华,15,"人,山,生,天,日"
朱景玄,15,"山,晓,风,云,清"
阎朝隐,15,"莲,春,君,日,气"
梁锽,15,"春,时,镜,家,年"
蒋吉,15,"人,山,马,水,下"
崔曙,15,"山,云,风,雨,时"
郑遨,15,"格,诗,风,旨,骚"
牛峤,15,"春,风,花,金,翠"
畅当,15,"山,风,君,水,见"
郑畋,14,"宫,云,人,天,玉"
薛稷,14,"灵,既,德,阴,游"
刘昭禹,14,"山,日,云,吟,瀑"
虚中,14,"在,人,生,南,时"
王仁裕,14,"云,天,白,路,前"
褚载,14,"知,万,人,风,看"
王季友,14,"山,人,在,我,同"
翁绶,14,"楼,陇,人,雪,古"
卢延让,13,"天,犹,花,春,人"
杨发,13,"风,日,人,似,未"
翁洮,13,"云,花,风,高,处"
陈子良,13,"落,花,云,春,月"
庄南杰,13,"山,白,风,花,秋"
李纾,13,"清,乐,尊,宗,礼"
卢僎,13,"风,天,云,花,海"
丘为,13,"日,水,时,孤,山"
毛熙震,13,"香,语,花,云,轻"
丘丹,13,"山,月,风,见,谢"
卢殷,13,"年,时,白,人,月"
薛据,12,"时,风,空,客,人"
马怀素,12,"日,柳,帝,阳,舆"
柳中庸,12,"弦,春,人,山,知"
薛存诚,12,"日,云,龙,千,恩"
尹鹗,12,"金,香,月,花,红"
韦处厚,12,"山,高,磊,晓,钩"
杨夔,12,"行,春,云,城,情"
崔日用,12,"金,风,春,色,圣"
护国,12,"空,山,在,松,天"
张谔,12,"朝,子,日,夜,半"
蒋防,12,"日,微,风,同,天"
栖蟾,12,"人,年,云,几,青"
陈标,12,"风,春,愁,红,天"
陈去疾,12,"花,春,开,见,影"
徐安贞,11,"春,近,月,天,归"
薛莹,11,"人,云,处,日,前"
孔德绍,11,"风,云,山,似,心"
丁仙芝,11,"开,明,出,流,船"
李廓,11,"马,人,归,春,花"
郑锡,11,"水,关,秋,晓,风"
徐坚,11,"风,远,下,日,云"
水神,11,"波,水,风,君,云"
王睿,11,"君,叶,树,风,枨"
姚系,11,"秋,人,风,袅,山"
吴仁璧,11,"金,碧,山,看,在"
冷朝阳,11,"月,风,色,秋,空"
熊皎,10,"天,云,人,风,有"
韦元旦,10,"承,年,九,月,云"
李赤,10,"人,石,花,云,相"
费冠卿,10,"名,山,人,地,风"
王湾,10,"入,山,行,书,长"
许坚,10,"山,落,有,栖,高"
卢鸿一,10,"曰,仙,盖,幽,有"
蒋贻恭,10,"下,处,向,半,似"
袁晖,10,"情,坐,月,日,金"
崔珏,10,"人,相,寒,如,春"
左偃,10,"寒,独,天,日,今"
萧至忠,9,"春,水,下,天,望"
崔涯,9,"断,月,风,年,香"
可止,9,"雪,白,年,在,春"
卢士衡,9,"枝,风,年,叶,人"
欧阳衮,9,"春,入,花,行,云"
窦叔向,9,"长,恩,仙,复,终"
魏承班,9,"金,花,愁,情,春"
吴商浩,9,"魂,风,空,堪,山"
常衮,9,"云,山,金,花,香"
韦蟾,9,"人,书,落,名,竹"
李约,9,"年,人,尽,春,生"
李义府,9,"春,朝,月,长,川"
王缙,9,"山,谁,月,下,兰"
陈叔达,9,"思,风,君,出,花"
李逢吉,9,"然,在,望,愔,念"
万楚,9,"日,长,人,山,花"
孟宾于,8,"风,春,秋,路,日"
包融,8,"人,树,落,时,朝"
处默,8,"山,多,风,云,萝"
武三思,8,"山,云,风,月,长"
薛曜,8,"风,云,日,天,山"
鲍防,8,"人,日,酒,月,山"
卢藏用,8,"山,云,千,人,天"
江为,8,"孤,雨,花,江,舟"
李昭象,8,"山,吟,未,难,云"
陈润,8,"日,人,雨,云,山"
李昂,8,"君,未,天,人,日"
