char,frequency,percentage
秀,964,0.03458018082134386
承,963,0.03454430926447525
床,963,0.03454430926447525
冠,963,0.03454430926447525
肠,960,0.0344366945938694
机,960,0.0344366945938694
雄,958,0.03436495148013218
急,958,0.03436495148013218
苏,956,0.034293208366394955
唐,954,0.03422146525265772
称,950,0.034077979025183266
指,947,0.033970364354577426
每,945,0.0338986212408402
贾,943,0.03382687812710297
再,942,0.03379100657023435
仍,941,0.033755135013365745
银,940,0.033719263456497124
赏,937,0.033611648785891284
宾,937,0.033611648785891284
全,937,0.033611648785891284
阶,929,0.033324676330942375
那,925,0.03318119010346792
英,924,0.0331453185465993
陶,923,0.033109446989730694
源,923,0.033109446989730694
拜,922,0.03307357543286207
茫,922,0.03307357543286207
盛,921,0.03303770387599346
积,920,0.03300183231912485
苑,917,0.032894217648519006
众,915,0.03282247453478178
繁,913,0.03275073142104455
冬,908,0.032571373636701484
最,908,0.032571373636701484
侵,908,0.032571373636701484
牛,906,0.03249963052296426
席,906,0.03249963052296426
旌,905,0.03246375896609564
浩,904,0.03242788740922702
雾,903,0.032392015852358416
籍,903,0.032392015852358416
尺,903,0.032392015852358416
旗,901,0.03232027273862118
志,900,0.03228440118175257
恐,899,0.032248529624883955
乌,898,0.03221265806801534
比,898,0.03221265806801534
兹,895,0.0321050433974095
途,894,0.03206917184054089
笔,890,0.03192568561306643
象,889,0.03188981405619781
浑,888,0.031853942499329206
种,888,0.031853942499329206
性,887,0.031818070942460586
严,884,0.031710456271854745
烛,882,0.03163871315811752
修,882,0.03163871315811752
并,881,0.031602841601248904
温,881,0.031602841601248904
哀,878,0.031495226930643064
形,878,0.031495226930643064
赵,878,0.031495226930643064
殷,875,0.03138761226003722
殊,875,0.03138761226003722
被,873,0.031315869146299996
放,867,0.031100639805088308
戎,867,0.031100639805088308
竟,866,0.031064768248219694
角,865,0.031028896691351084
涯,865,0.031028896691351084
闭,863,0.030957153577613854
荷,862,0.030921282020745237
寥,862,0.030921282020745237
广,860,0.030849538907008013
惭,860,0.030849538907008013
攀,860,0.030849538907008013
牧,860,0.030849538907008013
调,859,0.030813667350139396
湿,857,0.030741924236402166
氏,857,0.030741924236402166
泽,856,0.030706052679533555
把,856,0.030706052679533555
贺,852,0.030562566452059098
遂,851,0.030526694895190484
童,850,0.030490823338321874
销,847,0.030383208667716027
薛,846,0.030347337110847417
计,844,0.030275593997110186
昨,842,0.030203850883372955
嘉,842,0.030203850883372955
桑,841,0.030167979326504345
融,841,0.030167979326504345
危,841,0.030167979326504345
各,840,0.030132107769635732
凭,838,0.030060364655898505
哭,837,0.030024493099029888
凄,836,0.029988621542161274
投,835,0.029952749985292664
衡,835,0.029952749985292664
昭,834,0.029916878428424047
屋,832,0.029845135314686817
丛,832,0.029845135314686817
消,831,0.029809263757818207
凌,831,0.029809263757818207
列,829,0.029737520644080976
次,829,0.029737520644080976
津,827,0.02966577753034375
喧,826,0.029629905973475135
负,826,0.029629905973475135
鸾,825,0.029594034416606525
绣,825,0.029594034416606525
嗟,824,0.029558162859737905
抱,823,0.029522291302869295
维,822,0.029486419746000678
甘,822,0.029486419746000678
郭,822,0.029486419746000678
纵,820,0.029414676632263454
点,819,0.029378805075394837
毛,818,0.029342933518526224
省,817,0.029307061961657607
禁,817,0.029307061961657607
营,815,0.029235318847920383
走,815,0.029235318847920383
集,813,0.029163575734183156
曙,811,0.029091832620445925
答,810,0.029055961063577315
催,809,0.029020089506708698
没,809,0.029020089506708698
轮,807,0.028948346392971475
宵,807,0.028948346392971475
赤,806,0.028912474836102858
遍,804,0.028840731722365627
戴,803,0.028804860165497014
塘,802,0.028768988608628403
法,800,0.028697245494891173
势,799,0.028661373938022556
潭,796,0.028553759267416715
粉,792,0.028410273039942265
驾,792,0.028410273039942265
瑶,792,0.028410273039942265
庄,792,0.028410273039942265
降,791,0.028374401483073648
漏,790,0.028338529926205034
篇,789,0.028302658369336417
短,788,0.028266786812467807
枯,787,0.028230915255599193
艳,787,0.028230915255599193
惆,786,0.028195043698730576
潮,785,0.028159172141861966
驿,785,0.028159172141861966
幕,785,0.028159172141861966
菊,780,0.027979814357518895
浅,779,0.027943942800650278
招,777,0.027872199686913054
筵,776,0.027836328130044437
奇,775,0.027800456573175824
姚,774,0.027764585016307207
雷,773,0.027728713459438597
昌,771,0.027656970345701366
淮,770,0.027621098788832756
夷,769,0.02758522723196414
绮,765,0.027441741004489685
程,765,0.027441741004489685
弄,765,0.027441741004489685
昼,764,0.027405869447621068
历,764,0.027405869447621068
贯,763,0.027369997890752458
兄,761,0.027298254777015227
斯,759,0.027226511663277997
盖,758,0.027190640106409387
笼,753,0.027011282322066316
肯,753,0.027011282322066316
巢,752,0.026975410765197706
妾,749,0.026867796094591858
驱,749,0.026867796094591858
涧,748,0.026831924537723248
勤,746,0.026760181423986017
烧,745,0.026724309867117407
戏,745,0.026724309867117407
盈,742,0.026616695196511567
霄,741,0.026580823639642946
庐,740,0.026544952082774336
岑,739,0.02650908052590572
巴,735,0.026365594298431265
达,735,0.026365594298431265
宣,735,0.026365594298431265
衔,735,0.026365594298431265
茅,734,0.026329722741562648
妆,734,0.026329722741562648
禽,734,0.026329722741562648
陌,732,0.026257979627825424
强,732,0.026257979627825424
漫,731,0.026222108070956807
炉,731,0.026222108070956807
琼,730,0.026186236514088197
诚,730,0.026186236514088197
沾,729,0.02615036495721958
潜,727,0.026078621843482357
渚,725,0.026006878729745126
挂,723,0.025935135616007896
陪,722,0.025899264059139285
舆,721,0.02586339250227067
披,720,0.025827520945402055
扫,716,0.025684034717927597
底,714,0.02561229160419037
避,711,0.02550467693358453
滴,710,0.025468805376715916
仁,709,0.0254329338198473
存,706,0.02532531914924146
净,700,0.025110089808029777
壮,700,0.025110089808029777
员,697,0.025002475137423937
羡,694,0.02489486046681809
借,694,0.02489486046681809
峡,693,0.02485898890994948
升,693,0.02485898890994948
棹,693,0.02485898890994948
辉,693,0.02485898890994948
背,692,0.024823117353080865
俱,692,0.024823117353080865
愈,690,0.024751374239343638
遣,690,0.024751374239343638
灭,689,0.02471550268247502
荡,688,0.024679631125606408
奏,687,0.024643759568737798
寿,686,0.02460788801186918
拟,685,0.024572016455000567
利,684,0.024536144898131957
迢,682,0.024464401784394726
襟,680,0.024392658670657496
试,678,0.02432091555692027
义,674,0.024177429329445815
疾,673,0.024141557772577198
弹,672,0.024105686215708584
诏,671,0.02406981465883997
帐,671,0.02406981465883997
庆,670,0.024033943101971357
屏,669,0.023998071545102743
宋,669,0.023998071545102743
壶,669,0.023998071545102743
圆,668,0.02396219998823413
响,665,0.02385458531762829
穿,664,0.023818713760759672
延,664,0.023818713760759672
覆,664,0.023818713760759672
丞,661,0.02371109909015383
益,661,0.02371109909015383
桐,660,0.023675227533285218
墙,660,0.023675227533285218
除,659,0.023639355976416605
叔,658,0.023603484419547988
唱,657,0.023567612862679374
袖,656,0.023531741305810764
养,654,0.023459998192073533
杀,649,0.023280640407730462
要,648,0.02324476885086185
境,648,0.02324476885086185
耕,647,0.02320889729399324
差,647,0.02320889729399324
厌,646,0.02317302573712462
就,646,0.02317302573712462
市,644,0.023101282623387395
雀,644,0.023101282623387395
权,639,0.022921924839044323
威,639,0.022921924839044323
澄,637,0.022850181725307096
旋,637,0.022850181725307096
系,637,0.022850181725307096
服,635,0.02277843861156987
添,634,0.022742567054701256
拥,632,0.02267082394096403
寞,630,0.022599080827226798
咸,630,0.022599080827226798
牵,629,0.022563209270358184
恋,628,0.02252733771348957
妇,628,0.02252733771348957
属,628,0.02252733771348957
丈,627,0.022491466156620957
